SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b,TREND
4721.2,1,1,1,0,0,0,1,0
2238.6,1,1,0,1,1,1,0,1
2101.3,1,1,0,1,1,1,0,1
32102.0,0,0,0,0,1,0,1,1
5366.7,1,1,0,1,1,1,0,1
17818.7,0,0,1,0,0,1,1,1
1277.6,0,0,0,0,0,0,0,1
1965.3,1,1,1,1,0,1,1,0
2236.5,1,1,0,1,1,0,0,1
6994.1,1,1,1,1,0,0,0,1
4107.3,1,0,0,1,1,0,0,1
3211.7,1,1,1,1,0,0,0,1
2617.4,1,1,0,0,1,1,1,0
2261.9,1,1,0,1,1,1,0,0
1751.3,1,1,0,1,1,1,0,0
1371.2,1,1,0,0,1,0,0,1
3587.1,0,0,0,0,1,0,1,1
2289.8,1,0,1,1,0,0,1,1
2363.6,1,0,0,1,1,1,1,0
1851.4,1,1,0,1,1,1,0,0
1987.0,1,1,0,0,1,1,0,1
1704.7,0,0,0,1,1,0,0,0
2749.9,1,0,0,1,1,0,0,1
1766.9,0,0,1,1,0,1,1,1
2666.2,0,0,1,0,0,1,1,0
1458.1,1,1,0,1,1,0,1,1
1479.3,1,1,0,1,1,0,0,0
2296.2,0,0,1,1,0,1,0,0
1719.6,0,0,1,0,0,1,1,0
2410.5,1,1,0,1,1,0,1,1
2977.6,1,1,0,1,1,0,0,0
1174.8,0,0,1,0,0,1,1,0
2406.6,0,1,0,0,1,1,1,0
2515.9,1,1,0,0,1,1,0,1
1476.9,0,0,0,0,1,0,0,0
1273.0,0,0,0,0,1,0,0,0
7434.7,1,1,1,1,0,0,1,1
1108.2,0,0,1,0,0,0,1,1
2406.1,1,1,0,1,1,1,0,0
1723.2,1,1,1,1,0,0,0,0
3742.7,0,0,0,0,1,1,1,0
2512.8,1,1,1,1,0,1,1,1
9632.7,1,1,0,1,1,1,0,1
1793.0,1,1,1,0,0,1,1,1
2698.3,1,1,0,1,1,0,0,1
2178.6,1,1,1,1,0,1,0,0
4765.8,1,0,1,1,0,0,0,1
1281.0,0,0,0,0,1,0,0,1
