SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b
7002.4,0,0,1,0,0,0,1
6989.6,0,0,0,0,1,0,1
6975.2,0,0,1,0,0,0,1
6948.9,0,0,0,0,1,1,1
6922.4,0,0,1,0,0,1,1
6900.1,0,0,1,0,0,0,1
6871.3,0,0,1,0,0,0,0
6846.9,0,0,0,0,1,0,0
6835.1,0,0,0,0,1,1,1
6819.1,0,0,0,0,1,1,1
6777.3,0,0,1,0,0,0,1
6716.2,0,0,1,0,0,1,1
6667.3,0,0,1,0,0,1,1
6632.7,0,0,0,0,1,0,0
6599.4,0,0,1,0,0,0,1
6566.9,0,0,0,0,1,0,0
6532.6,0,0,0,0,1,1,0
6481.2,0,0,1,0,0,1,1
6434.6,0,0,1,0,0,0,1
6391.2,0,0,1,0,0,1,1
6374.0,0,0,1,0,0,1,1
6371.8,0,0,0,0,1,0,0
6362.8,0,0,0,0,0,1,1
6349.2,0,0,1,1,0,0,0
6360.1,0,0,0,1,1,1,0
6372.7,0,0,0,1,1,0,0
6377.4,0,0,0,0,1,1,0
6384.5,0,0,1,1,0,1,0
6391.8,1,0,0,1,1,0,0
6396.8,1,1,0,1,1,1,0
6397.9,1,1,1,1,0,0,1
6399.2,1,1,1,1,0,1,1
6403.8,1,1,0,1,1,0,0
6407.2,1,1,1,1,0,0,1
6392.5,1,1,1,1,0,0,1
6396.0,1,0,1,1,0,1,0
6430.4,1,0,0,1,1,1,0
6466.2,1,0,0,1,1,0,0
6498.6,1,1,0,1,1,1,0
6525.8,1,1,0,1,1,0,0
6547.5,1,1,0,1,1,0,0
6566.9,1,1,1,1,0,1,1
6591.5,1,1,1,1,0,1,1
6623.1,1,1,0,1,1,0,0
6648.4,1,1,1,1,0,0,1
6656.3,1,1,0,1,1,1,0
6637.8,1,1,1,0,0,0,1
6633.8,1,1,1,1,0,1,1
6641.8,1,1,1,1,0,1,0
6675.0,1,1,0,1,1,1,0
6718.9,1,1,0,1,1,0,0
6757.4,1,1,0,1,1,0,0
6784.0,1,1,0,1,1,1,0
6789.9,1,1,0,1,1,0,0
6793.5,1,1,0,1,1,0,0
6789.0,1,1,1,0,0,0,0
6784.8,1,1,1,0,0,1,1
6782.4,1,1,0,0,1,0,0
6769.1,1,1,0,0,1,0,0
6733.8,0,1,0,0,1,1,1
6691.7,0,0,1,0,0,0,0
6655.9,0,0,0,0,1,1,0
6620.2,0,0,0,0,1,1,1
6583.3,0,0,1,0,0,1,1
6549.7,0,0,0,0,1,0,1
6516.4,0,0,1,0,0,1,1
6489.6,0,0,0,0,1,0,0
6458.7,0,0,1,0,0,0,1
6427.4,0,0,1,0,0,1,1
6401.8,0,0,1,0,0,0,1
6378.1,0,0,1,0,0,1,1
6356.4,0,0,1,0,0,1,1
6348.6,0,0,1,1,0,0,0
6376.0,0,0,0,1,1,1,0
6407.2,0,0,0,1,1,0,0
6437.8,1,0,0,1,1,1,0
6447.9,1,0,0,1,1,1,0
6450.7,1,1,0,1,1,0,0
6453.1,1,1,1,1,0,1,1
6458.8,1,1,0,0,1,0,0
6461.0,1,1,0,0,1,1,0
6453.9,1,1,0,0,1,1,0
6434.2,1,1,0,0,1,0,1
6394.7,0,1,1,0,0,0,1
6362.4,0,0,1,0,0,1,1
6337.5,0,0,1,0,0,1,1
6343.7,0,0,1,1,0,0,0
6379.6,0,0,0,1,1,1,0
6404.9,0,0,0,1,1,0,0
6409.9,1,0,0,1,1,0,0
6419.4,1,0,0,1,1,1,1
6432.7,1,0,0,1,1,1,0
6447.7,1,1,0,1,1,0,0
6461.2,1,1,1,1,0,0,1
